"","SRR7457551","SRR7457552","SRR7457555","SRR7457556","SRR7457559","SRR7457560"
"0610006L08Rik",0,0,0,0,0,0
"0610007P14Rik",851.253342266667,998.813268066667,263.1200212,223.893324746667,256.186678133333,220.20002364
"0610009B22Rik",303.56001044,301.52666492,163.10667244,142.89333528,195.07998956,185.37333324
"0610009E02Rik",0,0,3.001624,4.232464,0,0
"0610009L18Rik",19.1200021333333,17.1733296666667,21.1866698133333,15.34666892,18.0666622133333,22.4133297333333
"0610009O20Rik",744.440012906667,643.893386026667,253.41256352,246.82993072,349.566345173333,297.613340906667
"0610010F05Rik",946.166689173333,947.713293866667,596.879966026667,615.853367853333,496.18667308,511.613305026667
"0610010K14Rik",188.565371253333,130.371138853333,46.30386452,384.133263586667,75.0141948533333,74.6570559733333
"0610011F06Rik",99.9866567866667,77.7333309866667,87.54666556,54.59999608,56.44000312,57.53333608
"0610012D04Rik",0,0,0,6.4400034,0,0
"0610012G03Rik",615.1733186,540.573344,465.733326,501.5466684,454.626670666667,360.520005266667
"0610025J13Rik",0,0,0,0,0,0
"0610030E20Rik",969.753417173333,921.967859466667,512.57282448,597.679976133333,888.426386093333,730.4205382
"0610031O16Rik",0,0,0,0,0,0
"0610033M10Rik",0,0,0,0,0,0
"0610037L13Rik",582.09998768,509.406738306667,537.479968826667,471.026663,514.446658946667,417.60664972
"0610038B21Rik",5.38395310666667,0,0.0021336,0,0,1.01642672
"0610039K10Rik",5.6832496,4.00247456,14.58509696,11.9291312,1.88885685333333,2.67806485333333
"0610040B10Rik",6.01332392,4.96000828,7.09332592,8.10666765333333,2.0133322,0
"0610040F04Rik",0,0,0,0,0,0
"0610040J01Rik",3.83999210666667,4.05332202666667,5.00000032,4.41334304,0,4.05332202666667
"0610043K17Rik",0,0,3.89333306666667,0,0,4.46666989333333
"1010001B22Rik",0,0,0,0,0,1.45333001333333
"1010001N08Rik",0,0,0,0,0,0
"1110001J03Rik",121.440001413333,134.759995093333,78.4533343333333,69.4933327733333,73.3866639333333,77.2400017866667
"1110002E22Rik",0,0,0,0,0,0
"1110002J07Rik",0,0,0,0,0,0
"1110002L01Rik",37.94278872,52.9007649066667,9.85373404,7.75548238666667,52.9310702266667,48.80150668
"1110002O04Rik",0,0,0,0,0,0
"1110003F10Rik",3.38666293333333,3.81332969333333,8.0400008,4.18666438666667,6.16000198666667,3.54666936
"1110004E09Rik",304.01332644,323.24000508,157.0399948,196.57334144,139.60001184,106.1066712
"1110004F10Rik",1689.58908992,1613.10001464,1286.12001906667,1321.84881448,1047.30004736,916.72663436
"1110006O24Rik",9.94666496,8.02666496,0.92000256,2.0133376,4.05332992,1.9866624
"1110008E08Rik",0,0,0,0,0,0
"1110008F13Rik",2423.51573458667,2205.02426594667,2032.25620665333,1847.11931217333,1508.04688102667,1278.26317396
